"segment_id","camera_id","segment_filename","storage_bucket","storage_path","storage_url","segment_duration","segment_size_bytes","segment_index","program_date_time","capture_timestamp","capture_session_id","camera_latitude","camera_longitude","camera_roadway","camera_region","camera_county","created_at","incident_id","avocado_version","labels","rn"
"3805","1071","1a232e0ee81e_seg2442.ts","avocado-fl511-video-fl511-video-segments","camera_1071/20250904/1a232e0ee81e_seg2442.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1071/20250904/1a232e0ee81e_seg2442.ts","12.60","793360","0","","2025-09-04T15:23:56.726501Z","","","","I-75","Central","Marion","2025-09-04T22:24:01.121973Z","268243","coffee_battery_2025-09-04T15:24:01.089918","[]","1"
"4818","1071","1a232e0ee81e_seg6233.ts","avocado-fl511-video-fl511-video-segments","camera_1071/20250905/1a232e0ee81e_seg6233.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1071/20250905/1a232e0ee81e_seg6233.ts","12.70","764972","0","","2025-09-05T04:48:53.054011Z","","","","I-75","Central","Marion","2025-09-05T11:48:58.00728Z","268729","coffee_battery_2025-09-05T04:48:57.937188","[]","1"
"9303","1071","273e4922b561_seg3412.ts","avocado-fl511-video-fl511-video-segments","camera_1071/20250907/273e4922b561_seg3412.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1071/20250907/273e4922b561_seg3412.ts","12.80","868560","0","","2025-09-07T18:50:49.231829Z","","","","I-75","Central","Marion","2025-09-08T01:50:54.377596Z","270705","coffee_battery_2025-09-07T18:50:54.326231","[]","1"
"15198","1071","13b3f2dc82c9_seg523.ts","avocado-fl511-video-fl511-video-segments","camera_1071/20250910/13b3f2dc82c9_seg523.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1071/20250910/13b3f2dc82c9_seg523.ts","12.60","909168","0","","2025-09-10T08:35:22.891664Z","","","","I-75","Central","Marion","2025-09-10T15:35:28.385762Z","273561","coffee_battery_2025-09-10T08:35:28.324393","[]","1"
"8268","1074","4852750997cc_seg313.ts","avocado-fl511-video-fl511-video-segments","camera_1074/20250907/4852750997cc_seg313.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1074/20250907/4852750997cc_seg313.ts","10.20","528280","0","","2025-09-07T07:37:53.060225Z","","","","I-75","Central","Sumter","2025-09-07T14:37:59.142987Z","270313","coffee_battery_2025-09-07T07:37:59.052222","[]","1"
"9816","1074","9034771c7b84_seg5144.ts","avocado-fl511-video-fl511-video-segments","camera_1074/20250908/9034771c7b84_seg5144.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1074/20250908/9034771c7b84_seg5144.ts","10.20","457404","0","","2025-09-08T04:16:58.75968Z","","","","I-75","Central","Sumter","2025-09-08T11:17:03.531319Z","270878","coffee_battery_2025-09-08T04:17:03.478030","[]","1"
"13805","1074","4117692b6767_seg3688.ts","avocado-fl511-video-fl511-video-segments","camera_1074/20250909/4117692b6767_seg3688.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1074/20250909/4117692b6767_seg3688.ts","10.20","371488","0","","2025-09-09T17:09:19.181774Z","","","","I-75","Central","Sumter","2025-09-10T00:09:43.417097Z","272627","coffee_battery_2025-09-09T17:09:43.300003","[]","1"
"18356","1074","81b8679d029d_seg3884.ts","avocado-fl511-video-fl511-video-segments","camera_1074/20251004/81b8679d029d_seg3884.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1074/20251004/81b8679d029d_seg3884.ts","10.20","438040","0","","2025-10-04T17:43:47.77319Z","","","","I-75","Central","Sumter","2025-10-05T00:43:52.640579Z","310242","coffee_battery_2025-10-04T17:43:52.573031","[]","1"
"4334","1075","2713ce8464b4_seg3961.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250904/2713ce8464b4_seg3961.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250904/2713ce8464b4_seg3961.ts","12.81","812912","0","","2025-09-04T20:47:30.739423Z","","","","I-75","Central","Marion","2025-09-05T03:47:37.21382Z","268526","coffee_battery_2025-09-04T20:47:37.144107","[]","1"
"7148","1075","a7b34d8e055e_seg1295.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250906/a7b34d8e055e_seg1295.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250906/a7b34d8e055e_seg1295.ts","12.61","755384","0","","2025-09-06T11:21:15.01149Z","","","","I-75","Central","Marion","2025-09-06T18:21:22.887341Z","269928","coffee_battery_2025-09-06T11:21:22.813038","[]","1"
"7457","1075","a7b34d8e055e_seg2086.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250906/a7b34d8e055e_seg2086.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250906/a7b34d8e055e_seg2086.ts","12.81","760272","0","","2025-09-06T14:09:41.028228Z","","","","I-75","Central","Marion","2025-09-06T21:09:46.065251Z","270025","coffee_battery_2025-09-06T14:09:46.026456","[]","1"
"7616","1075","94a136cd9bea_seg20.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250906/94a136cd9bea_seg20.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250906/94a136cd9bea_seg20.ts","12.81","625476","0","","2025-09-06T15:50:17.065286Z","","","","I-75","Central","Marion","2025-09-06T22:50:22.216814Z","270072","coffee_battery_2025-09-06T15:50:22.114066","[]","1"
"10629","1075","c79fff16f899_seg1423.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250908/c79fff16f899_seg1423.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250908/c79fff16f899_seg1423.ts","12.71","758392","0","","2025-09-08T11:47:24.690775Z","","","","I-75","Central","Marion","2025-09-08T18:47:30.244623Z","271209","coffee_battery_2025-09-08T11:47:30.172372","[]","1"
"15784","1075","709417c3213f_seg2840.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250910/709417c3213f_seg2840.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250910/709417c3213f_seg2840.ts","12.61","718536","0","","2025-09-10T16:48:17.467375Z","","","","I-75","Central","Marion","2025-09-10T23:48:22.596833Z","274125","coffee_battery_2025-09-10T16:48:22.561806","[]","1"
"16908","1075","ff0fe16f7bb9_seg795.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250911/ff0fe16f7bb9_seg795.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250911/ff0fe16f7bb9_seg795.ts","12.71","803136","0","","2025-09-11T09:33:46.682663Z","","","","I-75","Central","Marion","2025-09-11T16:33:52.451354Z","275166","coffee_battery_2025-09-11T09:33:52.358475","[]","1"
"17135","1075","c94455ec212f_seg2404.ts","avocado-fl511-video-fl511-video-segments","camera_1075/20250912/c94455ec212f_seg2404.ts","gs://avocado-fl511-video-fl511-video-segments/camera_1075/20250912/c94455ec212f_seg2404.ts","12.71","801632","0","","2025-09-12T15:16:32.111846Z","","","","I-75","Central","Marion","2025-09-12T22:16:36.935354Z","276908","coffee_battery_2025-09-12T15:16:36.886986","[]","1"
